Ord,Item,Description,UPC,REF#,Sugg. Retail,Discount %,Net Price US $
,EAEIHOO1,ELIZABETH ARDEN/EIGHT HOUR CREAM ALL OVER MIRACLE OIL 3.3 OZ (100 ML), 085805542689, EIGN40143,29.00,56,12.70
,EAEIHOHCR1,ELIZABETH ARDEN/EIGHT HOUR CREAM INTENSIVE MOISTURIZING HAND TREATMENT 2.3 OZ, 085805032999, EIGN40081,25.00,61,9.75
,EAPREVSR10,ELIZABETH ARDEN/PREVAGE ANTI AGING INTENSIVE REPAIR DAILY SERUM 1.0 OZ (30 ML), 085805144715, 40115,239.00,78,52.51
,EAPREVSR12,"ELIZABETH ARDEN/PREVAGE ANTI -AGING EYE SERUM 2.0,  0.6 OZ (20 ML)", 085805246808, 2246373000,106.00,62,39.95
,EASUPETRSR1,ELIZABETH ARDEN/SUPERSTART SKIN RENEWAL BOOSTER 1 OZ (30 ML), 085805189945, 18994,74.00,63,27.05
,EAVIDIMO1,"ELIZABETH ARDEN/VISIBLE DIFFERENCE BODY CARE LOTION  10.0 OZ
SPECIAL MOISTURE FORMULA
LIGHTLY SCENTED", 085805195984, A0104421,27.50,57,11.95
,ELANRESR13,"ESTEE LAUDER/ADVANCED NIGHT REPAIR SYNCHRONIZED MULTI-RECOVERY COMPLEX 1.0 OZ 
ALL SKIN TYPES", 887167485471, PG4Y,85.00,34,56.03
,ELPECLMKF2,ESTEE LAUDER/PERFECTLY CLEAN  MULTI-ACTION FOAM  CLEANSER PURIFYING MASK 5 OZ, 027131987840, YCE7,30.00,38,18.70
,ELPERPSR4,"ESTEE LAUDER/PERFECTIONIST PRO RAPID FIRM + LIFT TREATMENT 1.0 OZ (30)
ACETYL HEXAPEPTIDE-8", 887167351929, RY97,96.00,56,42.45
,ELPERPSR4-Q,"ESTEE LAUDER/PERFECTIONIST PRO RAPID FIRM + LIFT TREATMENT 1.0 OZ (30)
ACETYL HEXAPEPTIDE-8", 887167351929, ,96.00,75,24.05
,ELRENUCRG1-Q,ESTEE LAUDER/RE-NUTRIV CREAM GEL 1.7 OZ (50 ML), 887167250734, RH80,330.00,35,214.27
,GILIMPL3-A,GIVENCHY/L'INTEMPOREL GLOBAL YOUTH SMOOTHING EMULSION 1.7 OZ, 3274872362420, P056192,120.00,49,61.06
,GUERG1-Q,GUERLAIN/RADIANCE IN A FLASH INSTANT RADIANCE & TIGHTENING 0.5 OZ (15 ML), 3346470612204, ,30.00,78,6.75
,GNSUAQMK1,GUERLAIN/SUPER AQUA SHEET MASK X6 0.01OZ, 3346470603622, 3622,135.00,88,16.20
,H2OAQFSR1-Q,H2O PLUS/AQUAFIRM+ INTENSIVE LIFT SERUM 1.0 OZ, 764505202856, ,45.00,76,10.75
,H2OWAAL1-Q,H2O+/ WATERWHITE ADVANCED BRIGHTENING HYDRATOR LOTION SPF 30 1.3 OZ, 764505202504, 20250,42.00,64,15.20
,H2OWAASR1-Q,H2O PLUS/WATERWHITE ADVANCED DARK SPOT CORRECTOR SERUM 0.1 OZ, 764505202825, 20282,37.50,62,14.20
,H2OWAAEC1-Q,H2O+/ WATERWHITE ADVANCED BRIGHTENING EYE CREAM 0.5 OZ, 764505202528, ,35.00,69,10.75
,JEROBL2,JEROME MOMENTS LOTION/SPA LOTION FRAGRANCE-FREE 2.0 OZ (60 ML), 883991163608, 206301,12.00,90,1.15
,KLACLAMK2,KLAPP/A CLASSIC EFFECT MASK  1.7 OZ (50 ML), 4250094909802, 1811,96.00,51,46.70
,KLACLAG1,KLAPP/A CLASSIC HYDROGEL EYE PATCHES (5 X 2) 0.1 OZ (3 ML), 4250094944698, 1808,60.00,62,23.05
,KLACLAMK3,KLAPP/A CLASSIC EYE CARE MASK 1.0 OZ (30 ML) (U), 4250094909772, 1807,82.00,74,21.70
,KLASPECR3,KLAPP/ASA PEEL CARE CREAM 1.0 OZ (30 ML), 4250094900908, 1840,72.00,59,29.80
